Date,AN,AP,AR,AS,BR,CH,CT,DD,DL,DN,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TG,TN,TR,UN,UP,UT,Total,WB
06 May,0,2,0,0,0,0,0,0,1,0,0,28,0,1,0,0,0,0,0,0,34,0,0,9,0,0,0,2,0,4,0,0,2,0,0,4,0,91,4
07 May,0,2,0,0,1,0,0,0,1,0,0,29,0,0,0,1,1,0,0,0,43,0,0,8,0,0,0,1,0,6,0,0,2,0,0,2,0,104,7
08 May,0,3,0,1,0,1,0,0,2,0,0,24,0,1,0,0,0,0,0,0,37,0,0,7,0,0,0,1,0,4,0,0,3,0,0,4,0,97,9
09 May,0,3,0,-1,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,48,0,0,11,0,0,1,2,0,3,0,1,4,0,0,8,0,115,11
10 May,0,1,0,0,1,1,0,0,5,0,0,21,0,1,0,0,1,0,0,0,53,0,0,4,0,0,0,0,0,2,0,0,3,0,0,5,0,112,14
11 May,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,1,0,0,0,0,36,0,0,6,0,0,0,0,0,5,0,0,6,0,0,1,0,81,5
12 May,0,1,0,0,0,0,0,0,13,0,0,24,0,0,0,0,0,0,0,0,53,0,0,4,0,0,0,1,0,4,0,2,8,0,0,2,0,120,8
13 May,0,1,0,0,1,0,0,0,20,0,0,29,0,0,0,1,2,0,0,0,54,0,0,7,0,0,0,0,0,4,0,2,3,0,0,4,0,137,9
14 May,0,1,0,0,0,0,0,0,9,0,0,20,0,0,0,0,2,0,0,0,44,0,0,5,0,0,0,0,0,4,0,0,2,0,0,2,0,97,8
15 May,0,0,0,0,0,0,0,0,8,0,0,20,0,2,0,0,1,0,0,0,49,0,0,2,0,0,0,0,0,0,0,0,5,0,0,7,0,104,10
16 May,0,1,0,0,1,0,0,0,6,0,0,19,0,0,0,1,0,0,0,0,67,0,0,4,0,0,0,0,0,1,0,0,4,0,0,9,0,120,7
17 May,0,1,0,0,0,0,0,0,19,0,0,34,0,1,0,1,1,0,0,0,63,0,0,5,0,0,1,3,0,5,0,0,4,0,0,8,0,152,6
18 May,0,0,0,2,1,0,0,0,12,0,0,35,0,0,0,2,0,0,0,0,51,0,0,4,0,0,0,2,0,7,0,0,3,0,0,6,0,131,6
19 May,0,2,0,0,0,0,0,0,6,0,0,25,1,0,0,2,3,0,0,0,76,0,0,6,0,0,1,1,0,5,0,4,3,0,0,5,0,146,6
20 May,0,1,0,0,0,0,0,0,10,0,0,30,0,0,0,1,1,0,0,0,65,0,0,9,0,0,1,0,0,4,0,2,3,0,0,4,0,134,3
21 May,0,1,0,0,0,0,0,0,18,0,0,24,0,0,0,2,0,0,0,0,64,0,0,4,0,0,1,1,0,4,0,5,7,0,0,11,0,148,6
22 May,0,1,0,0,2,0,0,0,14,0,0,29,0,2,0,0,0,1,0,0,63,0,0,1,0,0,0,0,0,2,0,3,4,0,0,14,0,142,6
23 May,0,1,0,0,0,0,0,0,23,0,0,27,0,0,0,1,1,0,0,0,60,0,0,9,0,0,0,0,0,7,0,1,5,0,0,3,0,142,4
24 May,0,0,0,0,0,1,0,0,30,0,0,29,0,0,1,0,0,1,0,0,58,0,0,9,0,0,0,1,0,3,0,4,8,0,0,6,2,156,3
25 May,0,0,0,0,2,0,0,0,15,0,0,30,0,0,0,2,2,0,0,0,60,0,0,10,0,0,0,0,0,4,0,3,7,0,0,8,1,150,6
26 May,0,1,0,0,1,0,0,0,12,0,0,27,0,0,0,1,0,0,0,0,97,0,0,5,0,0,0,0,0,2,0,1,9,0,0,8,0,169,5
